题号,题干,A,B,C,D,E,答案,难度,题型,类别
1,第四脑室的构成包括以下哪些结构？,延髓、中脑、小脑,延髓、脑桥、小脑,脑桥、中脑、小脑,延髓、脑桥、中脑,延髓、脑桥、第四脑室脉络丛,B,无,单选题,解剖学
2,最难引流的鼻旁窦是？,额窦,筛窦,蝶窦,上颌窦,下颌窦,D,无,单选题,解剖学
3,桡神经损伤后可能出现的典型症状是？,爪形手,垂腕,猿手,腕下垂伴感觉障碍,拇指对掌功能障碍,B,无,单选题,解剖学
4,下列结构中，不在精索内的是？,输精管,睾丸动脉,蔓状静脉丛,射精管,神经和淋巴管,D,无,单选题,解剖学
5,患者因豆纹动脉破裂出血，该动脉通常发自？,大脑前动脉,大脑中动脉,大脑后动脉,颈内动脉,基底动脉,B,无,单选题,解剖学
6,关于脑的被膜，下列说法错误的是？,硬脑膜分两层，之间有静脉窦,蛛网膜与软脑膜之间的间隙称蛛网膜下腔,蛛网膜下腔指的是蛛网膜和硬脑膜之间的间隙,软脑膜紧贴脑表面并深入沟裂,蛛网膜颗粒是脑脊液回流入静脉窦的结构,C,无,单选题,解剖学
7,临床上常选择在髂骨进行骨髓穿刺，主要是因为？,髂骨位置表浅，易于操作,髂骨终生含有红骨髓,髂骨骨质较薄，穿刺难度小,髂骨骨髓造血功能最强,其他部位骨髓随年龄增长转为黄骨髓,B,无,单选题,解剖学
8,手术中寻找阑尾的重要解剖学标志是？,回盲瓣,盲肠末端,麦氏点（McBurney点）,三条结肠带在盲肠的汇聚处,阑尾系膜,D,无,单选题,解剖学
9,下列关节中，没有关节盘的是？,颞下颌关节,胸锁关节,腕关节,肩关节,膝关节,D,无,单选题,解剖学
10,防止子宫脱垂的主要韧带是？,子宫圆韧带,子宫阔韧带,子宫主韧带,骶子宫韧带,卵巢悬韧带,C,无,单选题,解剖学
11,椎间盘突出引起的疼痛，主要是由于什么结构压迫了神经根？,纤维环,髓核,前纵韧带,后纵韧带,软骨终板,B,无,单选题,解剖学
12,下列结构中，不属于肝外胆道的是？,肝左管,肝右管,肝总管,胆囊管,胰管,E,无,单选题,解剖学
13,成人脊髓的下缘通常平对？,第12胸椎下缘,第1腰椎下缘,第2腰椎下缘,第3腰椎下缘,第1骶椎下缘,B,无,单选题,解剖学
14,与视锥细胞相比，视杆细胞的特点是？,对强光敏感,能分辨颜色,主要集中在黄斑中央凹,对弱光更敏感,视敏度高,D,无,单选题,解剖学
15,眼球结构中，具有主要折光功能的是？,角膜,虹膜,视网膜,脉络膜,巩膜,A,无,单选题,解剖学
16,眼球内形成视觉图像的结构是？,角膜,虹膜,视网膜,脉络膜,巩膜,C,无,单选题,解剖学
17,眼球中调节进入眼内光线量的结构是？,角膜,虹膜,视网膜,脉络膜,晶状体,B,无,单选题,解剖学
18,关于舌的神经支配，下列说法正确的是？,舌前2/3味觉由舌咽神经管理,舌后1/3一般感觉由面神经管理,舌肌的运动由舌下神经支配,舌前2/3一般感觉由舌下神经管理,所有味觉均由面神经管理,C,无,单选题,解剖学
19,下列脑神经中，唯一自脑干背侧面发出的是？,动眼神经,滑车神经,展神经,面神经,三叉神经,B,无,单选题,解剖学
20,细胞毒性T细胞（CTL）杀伤靶细胞的主要物质是？,抗体和补体,干扰素和肿瘤坏死因子,穿孔素和颗粒酶,白细胞介素和趋化因子,溶菌酶和防御素,C,无,单选题,免疫学
21,决定免疫球蛋白（抗体）类别的结构部分是？,轻链可变区,轻链恒定区,重链可变区,重链恒定区,铰链区,D,无,单选题,免疫学
22,抗体分子中，直接与抗原表位结合的部位是？,轻链,重链,恒定区,可变区,Fc段,D,无,单选题,免疫学
23,抗体分子中，能够与补体C1q结合的部位位于？,轻链可变区,重链可变区,轻链恒定区,重链恒定区（CH2域）,铰链区,D,无,单选题,免疫学
24,患者高热入院后死亡，尸检心脏血培养发现革兰阳性矛头状双球菌，生前有肺炎表现，最可能的病原菌是？,金黄色葡萄球菌,甲型溶血性链球菌,乙型溶血性链球菌,肺炎链球菌,脑膜炎奈瑟菌,D,无,单选题,病原生物学
25,判断白喉棒状杆菌的重要形态学结构是？,芽孢,荚膜,异染颗粒,鞭毛,菌毛,C,无,单选题,病原生物学
26,临床上常用来判断灭菌是否彻底有效的指标是？,是否杀灭细菌繁殖体,是否杀灭病毒,是否杀灭真菌孢子,是否杀灭细菌芽孢,是否杀灭支原体,D,无,单选题,病原生物学
27,下列细菌结构中，与致病性无关的是？,芽孢,荚膜,鞭毛,菌毛,外毒素,A,无,单选题,病原生物学
28,下列因素中，对具有包膜的病毒破坏作用最强的是？,紫外线,75%乙醇,乙醚,干扰素,抗生素,C,无,单选题,病原生物学
29,下列药物中，属于广谱抗心律失常药的是？,奎尼丁,利多卡因,普萘洛尔,维拉帕米,胺碘酮,E,无,单选题,病原生物学
30,患者服用阿奇霉素后，又因其他疾病服用另一种药物，出现牙龈出血，最可能同时服用的药物是？,阿司匹林,华法林,胰岛素,硝苯地平,奥美拉唑,B,无,单选题,药理学
31,糖皮质激素本身对血管无收缩作用，但其存在时，去甲肾上腺素的缩血管效应大大增强，这种现象称为？,协同作用,拮抗作用,允许作用,竞争作用,反馈作用,C,无,单选题,药理学
32,头孢菌素类抗生素的主要抗菌作用机制是？,抑制细菌蛋白质合成,抑制细菌核酸合成,抑制细菌叶酸代谢,抑制细菌细胞壁合成,影响细菌细胞膜通透性,D,无,单选题,药理学
33,喹诺酮类抗菌药的主要作用机制是？,抑制细菌二氢叶酸还原酶,抑制细菌DNA回旋酶（拓扑异构酶II）,抑制细菌细胞壁合成,抑制细菌蛋白质合成,抑制细菌RNA合成,B,无,单选题,药理学
34,大肠末端（乙状结肠、直肠）黏膜出现假膜性炎，应首先考虑？,伤寒,细菌性痢疾,肠结核,肠阿米巴病,血吸虫病,B,无,单选题,病原生物学
35,以全身单核-巨噬细胞系统增生为主要病变，主要侵犯回肠末端集合与孤立淋巴滤泡的疾病是？,肠结核,细菌性痢疾,伤寒,克罗恩病,阿米巴痢疾,C,无,单选题,病原生物学
36,肠黏膜上形成口小底大的“烧瓶状”溃疡，是下列哪种疾病的特征？,细菌性痢疾,伤寒,肠结核,血吸虫病,肠阿米巴病,E,无,单选题,病原生物学
37,在盲肠形成带有干酪样坏死的肉芽肿，镜检可见朗汉斯巨细胞、上皮样细胞及淋巴细胞浸润，应考虑？,伤寒,细菌性痢疾,肠结核,溃疡性结肠炎,肠阿米巴病,C,无,单选题,病原生物学
38,在肝脏汇管区可见虫卵沉积并形成虫卵结节，是哪种疾病的病理特征？,华支睾吸虫病,血吸虫病,阿米巴肝脓肿,细菌性肝脓肿,肝结核,B,无,单选题,病原生物学
39,55岁男性，长期吸烟，胸片发现肺周边部一个边界不清的结节状阴影，最可能的诊断是？,肺结核球,肺错构瘤,肺鳞状细胞癌,肺腺癌,肺转移瘤,C,无,单选题,病理学
40,患者因心力衰竭伴双下肢水肿入院。查体发现肝下界在右侧肋缘下3cm处，AFP检测正常。该患者的肝脏最可能出现的病变是？,肝细胞癌,门脉性肝硬化,慢性肝炎,急性肝炎,肝淤血,E,无,单选题,病理学
41,在我国，引起门脉性肝硬化的最常见原因是？,慢性酒精中毒,病毒性肝炎,营养缺乏,毒物中毒,胆汁淤积,B,无,单选题,病理学
42,肺组织镜检可见肺泡壁毛细血管扩张充血，肺泡腔内充满淡粉红色均质液体，此病变为？,肺水肿,肺淤血,肺出血,肺梗死,肺炎,B,无,单选题,病理学
43,左肺下叶可见一个边界清楚的楔形（三角形）坏死区，该区域内充满红细胞，此病变为？,肺脓肿,肺淤血,肺出血性梗死,肺肿瘤坏死,干酪样肺炎,C,无,单选题,病理学
44,双肺可见多发性散在的小结节，镜下见细胞异型性明显，呈巢状排列，此病变最可能是？,粟粒性肺结核,肺转移性肿瘤,矽肺,支气管肺炎,肺真菌感染,B,无,单选题,病理学
45,尸检时在肺小血管内发现角化上皮、胎毛及胎粪等成分，提示患者死于？,血栓栓塞,空气栓塞,脂肪栓塞,羊水栓塞,肿瘤细胞栓塞,D,无,单选题,病理学
46,肺组织局部有大量中性粒细胞浸润并伴有组织液化性坏死，形成脓腔，应诊断为？,肺坏疽,肺脓肿,肺纤维素性炎,肺出血性炎,间质性肺炎,B,无,单选题,病理学
47,减压病（沉箱病）引起的栓塞，其栓子主要成分是？,二氧化碳,氧气,氮气,氨气,氦气,C,无,单选题,病理生理学
48,长骨骨折患者，在转运至医院途中突然出现呼吸急促、发绀和意识障碍，最可能的原因是发生了？,心肌梗死,肺动脉血栓栓塞,脂肪栓塞,空气栓塞,失血性休克,C,无,单选题,病理生理学
49,患者运动后气促，实验室检查示总胆固醇18mmol/L，最可能与之相关的疾病是？,高血压病,冠状动脉粥样硬化性心脏病,风湿性心脏病,肺源性心脏病,心肌炎,B,无,单选题,病理生理学
50,关于慢性肾盂肾炎的病理特点，下列说法错误的是？,肾脏体积不对称性缩小,肾表面有不规则的凹陷性瘢痕,肾盂肾盏变形,双侧肾脏病变对称、均匀,肾间质慢性炎症细胞浸润和纤维化,D,无,单选题,病理学
51,患者有多年高血压和蛋白尿病史，后因肾衰竭死亡。其肾脏最可能的外观病理改变是？,大白肾,蚤咬肾,原发性颗粒性固缩肾,继发性颗粒性固缩肾,多囊肾,D,无,单选题,病理学
52,引起儿童肾病综合征最常见的肾小球肾炎病理类型是？,微小病变性肾小球肾炎,膜性肾小球肾炎,系膜增生性肾小球肾炎,毛细血管内增生性肾小球肾炎,硬化性肾小球肾炎,A,无,单选题,病理学
53,下列疾病中，不属于慢性阻塞性肺疾病（COPD）的是？,慢性支气管炎,肺气肿,支气管哮喘,支气管扩张症,肺源性心脏病,E,无,单选题,病理生理学
54,哮喘患者因高热口服阿司匹林后，出现严重的哮喘发作、端坐呼吸、发绀、大汗淋漓。关于此现象，最正确的说法是？,这是IgE介导的I型超敏反应,这是阿司匹林直接刺激支气管所致,这是抗原-抗体复合物沉积引起的III型超敏反应,阿司匹林抑制了环氧化酶，导致白三烯增多引发哮喘,这是药物的毒性反应,D,无,单选题,
55,唯一能通过胎盘，为新生儿提供被动免疫的抗体是？,IgA,IgD,IgE,IgG,IgM,D,无,单选题,免疫学
56,介导I型（速发型）超敏反应的主要抗体是？,IgA,IgD,IgE,IgG,IgM,C,无,单选题,免疫学
57,系统性红斑狼疮（SLE）发病机制主要涉及的超敏反应类型是？,I型超敏反应,II型超敏反应,III型超敏反应,IV型超敏反应,以上都不是,C,无,单选题,免疫学
58,与强直性脊柱炎关联性最强的人类白细胞抗原（HLA）是？,HLA-A,HLA-B27,HLA-DR3,HLA-DR4,HLA-DQ,B,无,单选题,免疫学
59,编码人类MHC I类分子的主要基因位点是？,"HLA-A, HLA-B, HLA-C","HLA-DR, HLA-DQ, HLA-DP","HLA-DM, HLA-DO","HLA-E, HLA-F, HLA-G",以上都不是,A,无,单选题,免疫学
60,慢性阻塞性肺疾病患者，长期缺氧，入院后接受面罩吸氧，不久出现意识模糊、嗜睡。其动脉血气分析最可能的结果是？,pH 7.32，PaO₂ 55mmHg，PaCO₂ 50mmHg,pH 7.15，PaO₂ 82mmHg，PaCO₂ 93mmHg,pH 7.50，PaO₂ 65mmHg，PaCO₂ 32mmHg,pH 7.38，PaO₂ 98mmHg，PaCO₂ 42mmHg,pH 7.28，PaO₂ 45mmHg，PaCO₂ 30mmHg,B,无,单选题,病理生理学
61,患者血气分析结果：pH 7.45，PaCO₂ 26mmHg，[HCO₃⁻] 17mmol/L，BE -6。该患者的酸碱失衡类型是？,代谢性酸中毒,代谢性碱中毒,呼吸性酸中毒,呼吸性碱中毒,呼吸性碱中毒合并代谢性酸中毒,D,无,单选题,病理生理学
62,右心衰竭患者出现双下肢对称性凹陷性水肿，其主要发生机制是？,毛细血管血压增高,血浆胶体渗透压降低,毛细血管壁通透性增高,淋巴回流受阻,组织液胶体渗透压降低,A,无,单选题,病理生理学
63,基因突变使编码血红蛋白β链的mRNA上的终止密码子UAA变为CAA，这将导致？,翻译提前终止，肽链缩短,肽链延长至下一个终止密码子,氨基酸序列无变化,阅读框移位,翻译不能启动,B,无,单选题,生物化学
64,一段DNA的模板链序列为5‘-ATG CCA-3’，其转录出的mRNA序列应为？,5‘-UAC GGU-3’,5‘-TAC GGT-3’,5‘-AUG CCA-3’,5‘-UGG CAU-3’,5‘-CCA UGG-3’,D,无,单选题,生物化学
65,下列技术中，CRISPR/Cas9等基因编辑技术最核心的工具酶属于？,DNA聚合酶,RNA聚合酶,逆转录酶,II型限制性核酸内切酶,DNA连接酶,D,无,单选题,生物化学
66,Watson和Crick提出的经典DNA双螺旋结构模型属于？,A型DNA,B型DNA,Z型DNA,D型DNA,以上都不是,B,无,单选题,生物化学
67,下列代谢过程中，完全在细胞质基质（胞液）中进行的是？,糖酵解,三羧酸循环,氧化磷酸化,脂肪酸β-氧化,糖异生（部分步骤在线粒体）,A,无,单选题,生物化学
